variant,1ep_Y_mAP50,1ep_U_mAP50,1ep_d_mAP50,1ep_Y_mAP,1ep_U_mAP,1ep_d_mAP,1ep_Y_P,1ep_U_P,1ep_d_P,1ep_Y_R,1ep_U_R,1ep_d_R,1ep_Y_F1,1ep_U_F1,1ep_d_F1,5ep_Y_mAP50,5ep_U_mAP50,5ep_d_mAP50,5ep_Y_mAP,5ep_U_mAP,5ep_d_mAP,5ep_Y_P,5ep_U_P,5ep_d_P,5ep_Y_R,5ep_U_R,5ep_d_R,5ep_Y_F1,5ep_U_F1,5ep_d_F1,Y_PT_fps,U_PT_fps,d_PT_fps,Y_FP16_fps,U_FP16_fps,d_FP16_fps,Y_INT8_fps,U_INT8_fps,d_INT8_fps,params_M,GFLOPs,Y_train_CPU_pct,U_train_CPU_pct,Y_train_RSS_GB,U_train_RSS_GB,Y_train_VRAM_MB,U_train_VRAM_MB,batch_train
yolo8x,0.4312,0.1461,+0.2851,0.3228,0.0759,+0.2469,0.4894,0.3673,+0.1221,0.4821,0.2660,+0.2161,0.4179,0.3086,+0.1093,0.7404,0.7691,-0.0288,0.6430,0.6630,-0.0200,0.9274,0.7639,+0.1635,0.8274,0.7508,+0.0766,0.8540,0.7573,+0.0967,142.9,136.1,+6.8,429.5,364.7,+64.8,443.8,344.7,+99.1,68.16,258.10,210,154,8.2,9.3,20330,25767,16
yolo9t,0.5093,0.6084,-0.0991,0.3700,0.4903,-0.1204,0.7708,0.6369,+0.1339,0.5893,0.5160,+0.0733,0.6056,0.5701,+0.0354,0.7977,0.8041,-0.0064,0.6737,0.7079,-0.0342,0.9284,0.7843,+0.1441,0.8661,0.7939,+0.0722,0.8954,0.7891,+0.1063,158.7,211.5,-52.8,375.5,414.9,-39.4,356.1,376.1,-20.0,2.01,7.90,,,,,,,16
yolo9s,0.6015,0.6734,-0.0719,0.4645,0.5456,-0.0811,0.8080,0.8837,-0.0757,0.5863,0.5280,+0.0583,0.6582,0.6611,-0.0029,0.7668,0.8573,-0.0905,0.6722,0.7566,-0.0843,0.9409,0.9087,+0.0322,0.8958,0.7496,+0.1463,0.9156,0.8215,+0.0941,147.3,200.8,-53.5,303.3,403.4,-100.1,312.7,376.1,-63.4,7.29,27.40,,,,,,,16
yolo9m,0.4626,0.4997,-0.0371,0.3039,0.3836,-0.0797,0.7589,0.7548,+0.0041,0.5268,0.4652,+0.0616,0.5728,0.5756,-0.0028,0.8070,0.7761,+0.0309,0.6943,0.6655,+0.0288,0.9538,0.7566,+0.1972,0.8631,0.7383,+0.1248,0.9033,0.7474,+0.1559,142.3,212.2,-69.9,260.0,421.5,-161.5,287.3,342.0,-54.7,20.16,77.60,,,,,,,16
yolo9c,0.6184,0.3905,+0.2278,0.4609,0.2482,+0.2126,0.8659,0.6251,+0.2408,0.6935,0.4189,+0.2746,0.7322,0.5016,+0.2306,0.8007,0.7816,+0.0191,0.6763,0.6572,+0.0191,0.9368,0.7526,+0.1842,0.8810,0.7578,+0.1231,0.9064,0.7552,+0.1512,133.4,200.2,-66.8,259.3,375.6,-116.3,250.7,414.9,-164.2,25.53,103.70,,,,,,,16
yolo9e,0.3574,0.0000,+0.3574,0.2327,0.0000,+0.2327,0.7047,0.0001,+0.7046,0.4821,0.0153,+0.4669,0.4741,0.0001,+0.4739,0.7653,0.7276,+0.0377,0.6456,0.6300,+0.0157,0.9011,0.9327,-0.0317,0.8601,0.6390,+0.2211,0.8768,0.7584,+0.1184,106.8,109.1,-2.3,368.2,246.4,+121.8,347.2,239.5,+107.7,58.15,192.70,,,,,,,16
yolo10n,0.6560,0.3278,+0.3282,0.4912,0.2665,+0.2248,0.7786,0.5903,+0.1883,0.7560,0.2991,+0.4568,0.7342,0.3970,+0.3372,0.8744,0.7401,+0.1343,0.7533,0.6537,+0.0996,0.9326,0.6294,+0.3031,0.9077,0.7251,+0.1826,0.9189,0.6739,+0.2449,544.9,384.3,+160.6,1008.2,742.8,+265.4,740.8,697.2,+43.6,2.71,8.40,,,,,,,16
yolo10s,0.4379,0.5030,-0.0651,0.3449,0.3993,-0.0544,0.7136,0.7365,-0.0230,0.5595,0.4197,+0.1398,0.5666,0.5347,+0.0319,0.8404,0.8038,+0.0366,0.7267,0.7103,+0.0164,0.9360,0.8242,+0.1118,0.8839,0.7166,+0.1674,0.9084,0.7666,+0.1418,227.3,376.0,-148.7,388.1,572.3,-184.2,394.7,635.1,-240.4,8.07,24.80,,,,,,,16
yolo10m,0.4866,0.2778,+0.2088,0.3705,0.2037,+0.1668,0.6203,0.4817,+0.1386,0.5595,0.3292,+0.2304,0.5005,0.3911,+0.1094,0.8002,0.7922,+0.0080,0.6839,0.6977,-0.0138,0.9388,0.7558,+0.1829,0.8482,0.7512,+0.0970,0.8871,0.7535,+0.1336,170.0,279.0,-109.0,291.0,486.4,-195.4,289.3,485.1,-195.8,16.49,64.00,,,,,,,16
yolo10b,0.4153,0.1572,+0.2581,0.3118,0.0989,+0.2129,0.5944,0.3746,+0.2198,0.4821,0.3369,+0.1452,0.4318,0.3548,+0.0770,0.7600,0.7923,-0.0323,0.6542,0.6707,-0.0165,0.8934,0.8783,+0.0151,0.8810,0.7199,+0.1611,0.8849,0.7912,+0.0937,155.8,,,290.1,,,291.6,,,20.46,98.70,,,,,,,16
yolo10l,0.4538,0.1089,+0.3449,0.3474,0.0741,+0.2733,0.5115,0.3679,+0.1436,0.5417,0.1594,+0.3823,0.4057,0.2224,+0.1833,0.7310,0.7330,-0.0020,0.6417,0.6387,+0.0030,0.9062,0.9042,+0.0020,0.8065,0.6587,+0.1479,0.8501,0.7622,+0.0879,140.3,223.1,-82.8,270.2,451.2,-181.0,269.2,396.2,-127.0,25.77,127.20,,,,,,,16
yolo10x,0.4968,0.1609,+0.3359,0.3181,0.0959,+0.2222,0.6645,0.4265,+0.2379,0.5893,0.2451,+0.3442,0.5624,0.3113,+0.2511,0.7913,0.7837,+0.0076,0.6793,0.6807,-0.0014,0.9160,0.7772,+0.1388,0.8661,0.6819,+0.1841,0.8869,0.7264,+0.1605,181.3,181.8,-0.5,403.3,389.0,+14.3,358.0,316.0,+42.0,31.66,171.00,,,,,,,16
yolo11n,0.6977,0.5663,+0.1315,0.5743,0.4476,+0.1267,0.8522,0.7623,+0.0898,0.7500,0.4603,+0.2897,0.7917,0.5740,+0.2177,0.8128,0.8321,-0.0193,0.6996,0.7182,-0.0186,0.9445,0.8160,+0.1286,0.8423,0.8099,+0.0324,0.8896,0.8129,+0.0766,500.3,364.4,+135.9,972.1,640.4,+331.7,830.3,620.9,+209.4,2.59,6.40,414,246,8.3,8.5,4880,5148,16
yolo11s,0.7542,0.4838,+0.2704,0.5822,0.3579,+0.2243,0.8377,0.4958,+0.3419,0.7560,0.5054,+0.2506,0.7914,0.5005,+0.2909,0.8024,0.8300,-0.0276,0.6944,0.7039,-0.0095,0.9361,0.8571,+0.0790,0.8720,0.7794,+0.0926,0.9014,0.8165,+0.0849,397.2,356.9,+40.3,876.3,605.2,+271.1,771.4,570.4,+201.0,9.43,21.60,371,224,8.4,8.6,7286,7467,16
yolo11m,0.4647,0.2621,+0.2025,0.3257,0.1541,+0.1717,0.5123,0.3187,+0.1936,0.5863,0.3720,+0.2143,0.3839,0.3433,+0.0407,0.7643,0.7952,-0.0309,0.6627,0.6768,-0.0141,0.9428,0.8094,+0.1334,0.8244,0.7383,+0.0861,0.8652,0.7722,+0.0930,260.6,254.7,+5.9,639.2,490.5,+148.7,611.6,474.1,+137.5,20.06,68.20,287,184,8.4,8.7,30801,13138,16
yolo11l,0.5883,0.1776,+0.4107,0.4003,0.1158,+0.2845,0.5586,0.5875,-0.0289,0.5982,0.1497,+0.4485,0.5119,0.2387,+0.2732,0.7475,0.7958,-0.0483,0.6431,0.6640,-0.0209,0.9272,0.7503,+0.1769,0.8006,0.7825,+0.0181,0.8397,0.7660,+0.0737,154.9,190.9,-36.0,235.4,407.5,-172.1,247.1,397.4,-150.3,25.31,87.30,258,166,8.4,8.8,15298,15614,16
yolo11x,0.3159,0.0026,+0.3133,0.1903,0.0007,+0.1896,0.5809,0.2304,+0.3505,0.4435,0.0473,+0.3962,0.4425,0.0785,+0.3640,0.6967,0.7382,-0.0415,0.5892,0.6181,-0.0290,0.8996,0.9010,-0.0014,0.7738,0.6189,+0.1549,0.8122,0.7338,+0.0784,138.4,145.2,-6.8,418.2,342.6,+75.6,397.2,339.9,+57.3,56.88,195.50,200,148,8.5,9.3,26414,28100,16
yolo12n,0.7463,0.6137,+0.1326,0.6069,0.4668,+0.1401,0.8151,0.5806,+0.2345,0.8423,0.5804,+0.2618,0.8257,0.5805,+0.2452,0.7990,0.8003,-0.0013,0.6902,0.6919,-0.0018,0.9214,0.8113,+0.1101,0.8750,0.7415,+0.1335,0.8971,0.7749,+0.1223,337.7,277.9,+59.8,670.8,481.8,+189.0,652.5,520.2,+132.3,2.57,6.50,365,229,8.4,8.5,5648,6081,16
yolo12s,0.6148,0.4639,+0.1509,0.4309,0.2956,+0.1353,0.7724,0.6346,+0.1378,0.6756,0.3989,+0.2767,0.7089,0.4899,+0.2190,0.8072,0.7751,+0.0321,0.6908,0.6591,+0.0317,0.9154,0.8284,+0.0870,0.8690,0.7006,+0.1685,0.8913,0.7592,+0.1322,190.0,269.8,-79.8,310.4,402.1,-91.7,326.1,,,9.26,21.50,303,200,8.4,8.6,8741,9581,16
yolo12m,0.3660,0.1273,+0.2387,0.2356,0.0516,+0.1839,0.7053,0.4067,+0.2986,0.4345,0.1574,+0.2771,0.4970,0.2270,+0.2700,0.7641,0.7478,+0.0162,0.6358,0.6220,+0.0138,0.9500,0.7112,+0.2388,0.7887,0.7120,+0.0767,0.8432,0.7116,+0.1316,183.6,226.4,-42.8,249.7,,,269.1,,,20.14,67.80,232,169,8.4,8.8,30562,15487,16
yolo12l,0.3863,0.3389,+0.0475,0.2858,0.1705,+0.1153,0.6312,0.4444,+0.1868,0.5327,0.4911,+0.0417,0.4542,0.4666,-0.0124,0.7089,0.7524,-0.0434,0.6189,0.6434,-0.0245,0.9646,0.9386,+0.0260,0.7649,0.6414,+0.1235,0.8346,0.7621,+0.0725,122.9,158.4,-35.5,181.6,,,197.1,,,26.39,89.40,190,147,8.4,8.9,27265,26871,16
yolo12x,0.2657,0.0518,+0.2139,0.1457,0.0241,+0.1216,0.5162,0.2685,+0.2478,0.4464,0.1944,+0.2520,0.3910,0.2255,+0.1655,0.6923,0.6743,+0.0180,0.5898,0.5447,+0.0451,0.9186,0.9175,+0.0011,0.7649,0.5485,+0.2164,0.8157,0.6866,+0.1291,105.7,121.3,-15.6,259.9,185.9,+74.0,285.7,207.0,+78.7,59.12,199.80,160,130,8.5,9.4,32058,28458,16
yolo13n,0.7237,0.6970,+0.0267,0.6086,0.5924,+0.0162,0.8602,0.7963,+0.0639,0.7619,0.5806,+0.1813,0.7827,0.6715,+0.1112,0.8401,0.8844,-0.0443,0.7506,0.7796,-0.0290,0.9540,0.8526,+0.1013,0.8929,0.8452,+0.0477,0.9215,0.8489,+0.0726,317.9,195.2,+122.7,619.7,,,559.3,,,2.48,6.40,306,99,8.7,0.8,6371,1695,16
yolo13s,0.6138,0.6821,-0.0683,0.4878,0.5563,-0.0685,0.8269,0.6713,+0.1556,0.6935,0.6086,+0.0848,0.7192,0.6384,+0.0808,0.7977,0.7999,-0.0022,0.7049,0.7190,-0.0141,0.9137,0.8461,+0.0676,0.8750,0.7237,+0.1513,0.8922,0.7801,+0.1121,169.6,203.4,-33.8,297.1,,,288.8,,,9.03,20.80,256,99,8.8,0.8,10907,1695,16
yolo13l,0.6365,0.3362,+0.3003,0.5086,0.2606,+0.2480,0.7117,0.6838,+0.0279,0.7619,0.3257,+0.4362,0.6883,0.4412,+0.2471,0.7650,0.7877,-0.0227,0.6598,0.6864,-0.0266,0.8876,0.7284,+0.1592,0.8839,0.8034,+0.0806,0.8838,0.7640,+0.1198,115.1,129.8,-14.7,180.1,,,176.9,,,27.57,88.40,172,99,8.8,0.8,26533,1690,16
yolo13x,,,,,,,,,,,,,,,,0.7618,,,0.6676,,,0.9022,,,0.8601,,,0.8784,,,95.7,105.0,-9.3,223.0,,,239.1,,,63.98,199.20,250,99,6.6,0.8,32046,1690,8
yolo26n,0.6085,0.5197,+0.0887,0.4664,0.4402,+0.0263,0.8320,0.7043,+0.1277,0.6875,0.4865,+0.2010,0.6926,0.5754,+0.1171,0.8578,0.8119,+0.0458,0.7288,0.7164,+0.0124,0.9099,0.7783,+0.1316,0.9048,0.7910,+0.1138,0.9043,0.7846,+0.1197,418.0,341.1,+76.9,911.5,695.3,+216.2,736.6,641.7,+94.9,2.51,5.80,,,,,,,16
yolo26s,0.6846,0.6675,+0.0170,0.5005,0.5247,-0.0242,0.7759,0.6235,+0.1524,0.7292,0.6195,+0.1097,0.7257,0.6215,+0.1042,0.9109,0.8787,+0.0322,0.7415,0.7443,-0.0028,0.9666,0.8766,+0.0900,0.8810,0.8539,+0.0271,0.9211,0.8651,+0.0560,183.8,329.1,-145.3,373.4,664.9,-291.5,375.5,614.1,-238.6,9.95,22.50,,,,,,,16
yolo26m,0.5992,0.5115,+0.0876,0.4257,0.3737,+0.0519,0.7903,0.6271,+0.1633,0.7560,0.4745,+0.2814,0.7421,0.5402,+0.2019,0.9043,0.8642,+0.0401,0.7583,0.7449,+0.0134,0.9313,0.8033,+0.1279,0.9077,0.8375,+0.0702,0.9182,0.8201,+0.0981,174.4,259.4,-85.0,299.9,539.8,-239.9,304.1,503.3,-199.2,21.78,74.80,,,,,,,16
yolo26l,0.5102,0.6474,-0.1373,0.3576,0.5093,-0.1517,0.5780,0.5842,-0.0063,0.6190,0.5810,+0.0380,0.5800,0.5826,-0.0026,0.8821,0.8959,-0.0137,0.7444,0.7653,-0.0209,0.9232,0.8679,+0.0552,0.9226,0.9030,+0.0196,0.9223,0.8851,+0.0372,137.7,198.8,-61.1,262.6,443.7,-181.1,238.2,426.3,-188.1,26.18,93.20,,,,,,,16
yolo26x,0.5645,0.3569,+0.2076,0.4058,0.2695,+0.1364,0.6557,0.4269,+0.2288,0.6399,0.4032,+0.2367,0.6013,0.4147,+0.1866,0.8699,0.8751,-0.0052,0.7196,0.7490,-0.0294,0.9082,0.7752,+0.1330,0.9137,0.9115,+0.0022,0.9077,0.8378,+0.0699,128.7,151.0,-22.3,413.6,370.0,+43.6,403.0,360.7,+42.3,58.82,208.60,,,,,,,16
