variant,new_mAP50,base_mAP50,d_mAP50,new_mAP,base_mAP,d_mAP,new_P,base_P,d_P,new_R,base_R,d_R,new_F1,base_F1,d_F1,new_CPU_pct,base_CPU_pct,d_CPU,new_RSS_GB,base_RSS_GB,d_RSS,new_VRAM_MB,base_VRAM_MB,d_VRAM,batch,train_sec,status
yolo12m,0.325035,0.3660,-0.0410,0.230105,0.2356,-0.0055,0.644908,0.7053,-0.0604,0.52381,0.4345,+0.0893,0.475725,0.4970,-0.0213,197,232,-35,6.9,8.4,-1.5,7522,30562,-23040,8,28,ok
yolo12l,0.446217,0.3863,+0.0599,0.32395,0.2858,+0.0382,0.623352,0.6312,-0.0078,0.535714,0.5327,+0.0030,0.502811,0.4542,+0.0486,170,190,-20,7.0,8.4,-1.4,23426,27265,-3839,8,39,ok
yolo12x,0.295008,0.2657,+0.0293,0.188692,0.1457,+0.0430,0.662887,0.5162,+0.1467,0.345238,0.4464,-0.1012,0.390875,0.3910,-0.0001,153,160,-7,6.5,8.5,-2.0,9358,32058,-22700,4,59,ok
yolo13n,0.722941,0.7237,-0.0008,0.607931,0.6086,-0.0007,0.815884,0.8602,-0.0443,0.833333,0.7619,+0.0714,0.823235,0.7827,+0.0405,204,306,-102,7.2,8.7,-1.5,3246,6371,-3125,8,26,ok
yolo13s,0.633424,0.6138,+0.0196,0.501192,0.4878,+0.0134,0.782108,0.8269,-0.0448,0.64881,0.6935,-0.0447,0.648555,0.7192,-0.0706,186,256,-70,7.1,8.8,-1.7,5236,10907,-5671,8,31,ok
yolo13l,0.526389,0.6365,-0.1101,0.42349,0.5086,-0.0851,0.603907,0.7117,-0.1078,0.669643,0.7619,-0.0923,0.557641,0.6883,-0.1307,148,172,-24,7.2,8.8,-1.6,13034,26533,-13499,8,52,ok
yolo13x,0.55893,0.5948,-0.0359,0.43831,0.4419,-0.0036,0.875972,0.6488,+0.2272,0.633929,0.6458,-0.0119,0.704209,0.5614,+0.1428,134,250,-116,6.8,6.6,+0.2,10842,32046,-21204,4,81,ok
yolo26n,0.664127,0.6085,+0.0556,0.547056,0.4664,+0.0807,0.905961,0.8320,+0.0740,0.714286,0.6875,+0.0268,0.773075,0.6926,+0.0805,255,,,6.8,,,2464,,,8,17,ok
yolo26s,0.741833,0.6846,+0.0572,0.561157,0.5005,+0.0607,0.881737,0.7759,+0.1058,0.821429,0.7292,+0.0922,0.846376,0.7257,+0.1207,245,,,6.9,,,3826,,,8,19,ok
yolo26m,0.620235,0.5992,+0.0210,0.448323,0.4257,+0.0226,0.755393,0.7903,-0.0349,0.714286,0.7560,-0.0417,0.69437,0.7421,-0.0477,207,,,6.9,,,6304,,,8,25,ok
yolo26l,0.674966,0.5102,+0.1648,0.490091,0.3576,+0.1325,0.686689,0.5780,+0.1087,0.741071,0.6190,+0.1221,0.698193,0.5800,+0.1182,199,,,6.9,,,7382,,,8,28,ok
yolo26x,0.597007,0.5645,+0.0325,0.434053,0.4058,+0.0283,0.877149,0.6557,+0.2214,0.696429,0.6399,+0.0565,0.747824,0.6013,+0.1465,173,,,6.5,,,9592,,,4,43,ok
